date,max_temp,min_temp,avg_temp,depart,HDD,CDD,precip,new_snow,snow_depth
2013-03-22,50,28,39,-10.3,26,0,0,0,0
2013-03-23,55,32,43.5,-6.2,21,0,0,0,0
2013-03-24,44,34,39,-11,26,0,0.04,T,0
2013-03-25,39,33,36,-14.4,29,0,0.52,1.4,1
2013-03-26,51,35,43,-7.7,22,0,0,0,0
2013-03-27,52,39,45.5,-5.6,19,0,0.01,0,0
2013-03-28,50,40,45,-6.5,20,0,T,0,0
2013-03-29,60,42,51,-0.8,14,0,0,0,0
2013-03-30,61,41,51,-1.2,14,0,0,0,0
2013-03-31,56,45,50.5,-2.1,14,0,0.02,0,0
2014-03-01,46,23,34.5,-8.7,30,0,0,0,0
2014-03-02,53,36,44.5,1.1,20,0,0.23,0,0
2014-03-03,38,17,27.5,-16.2,37,0,0.55,3.8,1
2014-03-04,33,14,23.5,-20.4,41,0,0,0,4
2014-03-05,46,24,35,-9.2,30,0,0,0,2
2014-03-06,36,26,31,-13.5,34,0,0,0,0
2014-03-07,46,31,38.5,-6.2,26,0,0,0,0
2014-03-08,67,32,49.5,4.5,15,0,0,0,0
2014-03-09,52,42,47,1.7,18,0,0,0,0
2014-03-10,61,39,50,4.4,15,0,0,0,0
2014-03-11,72,44,58,12.1,7,0,0,0,0
2014-03-12,69,33,51,4.8,14,0,0.04,0,0
2014-03-13,36,23,29.5,-16.9,35,0,0,0,0
2014-03-14,60,28,44,-2.7,21,0,0,0,0
2014-03-15,70,47,58.5,11.4,6,0,0,0,0
2014-03-16,48,31,39.5,-7.9,25,0,0.32,3.3,0
2014-03-17,32,27,29.5,-18.2,35,0,0.35,3.9,7
2014-03-18,43,31,37,-11,28,0,0,0,6
2014-03-19,44,35,39.5,-8.8,25,0,0.37,0,0
2014-03-20,61,43,52,3.3,13,0,0,0,0
2014-03-21,57,44,50.5,1.5,14,0,0,0,0
2014-03-22,73,44,58.5,9.2,6,0,0,0,0
2014-03-23,52,34,43,-6.7,22,0,0,0,0
2014-03-24,43,26,34.5,-15.5,30,0,0,0,0
2014-03-25,36,31,33.5,-16.9,31,0,0.29,1.7,T
2014-03-26,39,30,34.5,-16.2,30,0,T,T,T
2014-03-27,52,27,39.5,-11.6,25,0,0,0,0
2014-03-28,68,46,57,5.5,8,0,0.04,0,0
2014-03-29,63,53,58,6.2,7,0,1.02,0,0
2014-03-30,54,36,45,-7.2,20,0,1.05,T,0
2014-03-31,67,43,55,2.4,10,0,T,0,0
2015-03-01,34,24,29,-14.2,36,0,0.51,0.1,0
2015-03-02,46,33,39.5,-3.9,25,0,0,0,0
2015-03-03,41,31,36,-7.7,29,0,0.04,T,0
2015-03-04,51,39,45,1.1,20,0,0.34,0,0
